EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
28459,Reed,Jordan,SFN,TE,81,30,242,74,8,Florida
63459,Robinson,Kenny,CAP,S,27,21,200,74,1,West Virginia
48756,Guy,Lawrence,NEP,DE,93,30,315,76,10,Arizona State
56404,Pierre-Paul,Jason,TBB,LB,90,31,275,77,11,South Florida
16374,Blake,Christian,ATF,WR,13,24,181,73,2,Northern Illinois
60517,Herbert,Justin,LAC,QB,10,22,236,78,0,Oregon
31582,Harris,Josh,ATF,LS,47,31,224,73,9,Auburn
10105,Davis,Tyler,JKJ,TE,87,23,252,76,0,Georgia Tech
85146,Meeks,Quenton,LAC,CB,29,24,209,73,2,Stanford
32964,Zuerlein,Greg,DLC,K,2,32,195,72,9,Missouri Western
85258,Gallup,Michael,DLC,WR,13,24,205,73,3,Colorado State
15359,Ogbah,Emmanuel,MMD,DE,91,27,275,76,5,Oklahoma State
95403,Dotson,Demar,DVB,OT,78,35,315,81,12,Southern Miss
92891,Bulaga,Bryan,LAC,OT,75,31,314,77,11,Iowa
41260,Barcoo,Luq,JKJ,CB,36,22,175,73,0,San Diego State
73976,Davis,Jesse,MMD,OT,77,29,310,78,4,Idaho
87724,Jackson,Donte,CAP,CB,26,24,180,70,3,LSU
71549,Jones,Brett,MNV,C,61,29,315,74,6,U Regina ca
10277,Gary,Rashan,GBP,LB,52,22,277,77,2,Michigan
41425,Zaccheaus,Olamide,ATF,WR,17,23,193,68,2,Virginia
25989,Metcalf,DK,STS,WR,14,22,229,76,2,Ole Miss
15726,Moreau,Fabian,WAS,CB,25,26,204,72,4,UCLA
14794,Ingold,Alec,LVR,FB,45,24,240,73,2,Wisconsin
71862,Ford,Mike,DTL,CB,38,25,198,72,3,Southeast Missouri State
77424,Good,Denzelle,LVR,OT,71,29,340,77,6,Mars Hill
11969,Flowers,Ereck,MMD,OT,75,26,343,78,6,Miami (FL)
50197,Jenkins,Jordan,NYJ,LB,48,26,259,75,5,Georgia
17920,Rodgers,Aaron,GBP,QB,12,36,225,74,16,California
